site1-1,site1-2,site1-3,site1-4,site2-1,site2-2,site2-3,site2-4,site2-5,bedrock,site3,Area1,Area2,River,Area3
497.3,1975.9,,2436.6,420.2,261.6,676.8,2390.4,496.1,1203.1,1213,344,1786,2506.9,2500.1
1077.9,1715.2,,260.5,696.1,2300.9,454,410.2,244.6,274.1,2000,1914,224,332,2724.2
364.1,1692.4,,1437.6,1010.5,433.9,452.5,100.9,2537.4,2522.9,1465,1739,470,472.3,499.2
714.3,212,,2492.8,911,441.4,1846.9,931.4,421.9,1096.7,1496,1979,306,457.2,302.2
2543.1,1482.4,,2579,2448.8,428.7,452.5,1694.4,292.3,262.9,2000,218,2531,2173,2615.1
250.4,466.4,,422.5,911,425.4,274.5,403.7,2503,2485.1,1528,605,301,1809.8,2317.5
237.5,273.1,,1580.9,955.8,1740.7,285.4,420.8,426.3,259.3,1369,463,331,1957.9,529.4
241.9,1690.5,,220.6,2595.8,972.9,519.4,428.5,339.4,2478.8,1702,1938,270,1777.6,454.7
267.5,697,,2134.8,1696,292.4,454,446,397.6,1450.4,1666,736,286,1093.2,911.8
324.2,852.5,,1823.2,304.6,1672.2,268,300.6,449,1922.7,2029,272,168,964.4,449.5
421.1,1860,,1839.4,240.5,552.5,428.4,194,407.2,1056.1,1791,662,212,268.4,662.3
195.5,1901.5,,306.2,1000.6,404.9,844.2,1865.4,454.4,331.1,1929,440,272,902.4,2666.9
447.2,300.2,,566.2,1333.2,1002,308.3,499.3,440,1925.9,1791,207,143,973.4,267.4
1696,1449.9,,1228,908.8,394.2,218,361.7,487.2,452,1791,380,221,1646.2,834.4
1529.3,263.4,,252,1829.7,388.1,401.7,820.4,262.3,272.9,2073,707,2061,501.2,1027.9
497.3,2118.5,,304.6,293.2,373,1760.5,300.6,436.1,2765.7,2220,806,296,232.5,951.5
471.1,470.6,,429.6,919.9,499.9,305.2,300,750.8,569.4,2050,491,252,803.7,1579.5
2471.1,451.7,,266.8,427.7,311.9,394.6,299.7,433.4,2000.6,2240,3091,311,1656.5,1864.6
252.6,348.7,,260.3,1900.1,429.6,1970.3,361.6,943.8,2334.1,2416,1984,136,454.9,2530.5
2407.5,250.2,,398.3,401.3,292.4,458.6,216,1595.7,2473.2,2360,183,2152,2508.3,2534.7
263.8,277.5,,696.9,276.2,282,335.7,288,2479.9,2469,2749,336,322,300.2,816
3571.6,2004.5,,1783.1,951.7,679.6,320.5,288,293.1,344.2,2569,412,186,482.6,2603
2459.9,268.2,,1901,1900.1,276,1776.4,482.6,258.2,790.4,2469,615,157,1626.5,1872.1
294.7,458.9,,439.2,1333.2,275.9,1597.1,276.8,744.5,305.3,212,758,323,319.7,528.1
2298.3,1705.4,,319.5,427.8,429.9,2273.6,2543.4,1750.3,1984.5,234,294,1766,813.9,944.3
421.1,498.5,,1880,344.2,1764.3,738.6,262.7,1589.3,2239.3,235,1246,475,266.5,2167.9
269.6,243.3,,422.5,531.4,477.8,428.9,258.4,444.6,1735,247,2148,256,2412.9,524.9
1928.4,239.7,,748,1880,1842.9,2058.8,246.6,2046.3,291.8,248,232,206,1932.8,2665.8
2402.6,454.3,,1977.2,1831.3,327.5,239.1,230.8,1080.9,1963.2,252,210,485,2303.1,2078
1776.1,410,,2134.8,407.1,248.3,462.1,226.1,1113.7,2291.5,252,281,291,1619.8,1889.5
233.8,954.4,,259.7,514.2,2527.3,285.4,431.2,2477.8,1141.5,254,975,264,473.2,2328.8
491.6,279.1,,1888.6,1959.2,469.1,283,293.7,1505.7,293.7,254,1043,239,1538.2,1778.2
208.5,1975.9,,438.5,1808.3,425.4,455.3,296,1794.6,423.6,258,1435,296,1779.3,244.5
443,1074.5,,1837.6,404.1,2492.3,424.9,1864.5,268.2,774.2,263,601,213,444.2,210.4
1827.9,2047.1,,760.9,1781.8,449.2,297.4,404.4,390.3,279.4,263,962,1844,1792.8,606.2
1949.2,212,,1754.2,290.8,1219.7,441.9,911,385.3,3169.6,265,354,519,420.7,238.5
1744.8,248,,887.6,1571.3,311.9,2106.9,426.2,346.4,834.2,267,475,243,897.2,1822.6
214.5,2520.5,,453.4,410.8,428.7,298.8,2691.2,197.3,274.9,269,926,293,2066.8,3152.6
1497.4,662.8,,2668.5,1685.3,447.1,260.8,2077.8,2520.3,1964.8,280,287,215,477.7,322.2
3552,413.3,,339.2,908.8,478.1,335.7,1628.5,410.4,340.3,283,402,498,1668.8,2438.5
289.5,294.2,,2479.9,432.8,952.9,247.9,2590.3,1043.4,2513.9,287,474,483,2442.9,2706.5
264.8,852.5,,2523.2,955.8,463.8,463.8,186.7,2470,1119.1,290,420,320,261.3,254.6
447.5,1860,,296.3,477.8,254.9,218,258.4,308.3,336,304,469,307,709.9,1120.4
250.4,2453.4,,260.3,760.7,485.1,414.6,365.7,469.7,278.1,309,314,234,280.4,1138.1
2088.2,291,,936.1,217.3,966.8,1696.9,404.9,802.6,390.1,316,292,1616,438,905.9
274.4,594.9,,459.2,196.7,1909.8,1707.5,1519.9,2468.9,469,325,358,239,1623.9,878.7
741.4,2490.6,,273.7,1959.2,432,443.9,478.3,291.8,337.5,325,288,241,30.2,279.8
1452.2,279.8,,2373,268.2,454.4,308.7,2680.2,446.3,1939.9,338,279,295,434.1,2583.9
233.8,678.1,,246.4,1880,424.2,471.7,415.8,307.4,319.8,344,1633,1354,879.3,2502.1
2383.5,451.7,,2563.7,2445.2,1897.6,1576.5,592.7,1767,2412.4,399,492,249,417.8,1020.6
397.4,356,,439.2,286.8,453.9,521,309.1,461.3,1808.1,416,2094,1833,258,2761.6
376.6,462.5,,11.2,1685.3,413.2,2297.7,282,308.3,274.4,422,667,272,1600.3,2480.8
702.9,277.5,,1825.5,2471.1,468.7,249.9,1168.6,433.4,1886.5,422,523,262,489.3,223.2
415.9,759.4,,440.8,1831.3,373,422.2,984.6,449.8,291.6,422,2542,1964,432.7,3383.2
209.2,1811.3,,241,316.3,438,260.8,1726.5,2151.2,1945,424,735,501,445.2,2221.2
